%time,field.header.seq,field.header.stamp,field.header.frame_id,field.copx,field.copy
1374680237629200129,741397,1374680237629200129,,-0.00556490513133,-0.011801929327
1374680237630123500,741398,1374680237630123500,,-0.00556490513133,-0.011801929327
1374680237630753608,741399,1374680237630753608,,-0.00563075854522,-0.0118201667315
1374680237631365488,741400,1374680237631365488,,-0.00569639780747,-0.011838344829
1374680237632262320,741401,1374680237632262320,,-0.00576182396102,-0.0118564639083
1374680237632876085,741402,1374680237632876085,,-0.00576182396102,-0.0118564639083
1374680237633508498,741403,1374680237633508498,,-0.005827038042,-0.0118745242564
1374680237634417971,741404,1374680237634417971,,-0.005827038042,-0.0118745242564
1374680237635032365,741405,1374680237635032365,,-0.00573629599234,-0.0120280189555
1374680237635956085,741406,1374680237635956085,,-0.00573629599234,-0.0120280189555
1374680237636584447,741407,1374680237636584447,,-0.00580159277887,-0.0120458125272
1374680237637198282,741408,1374680237637198282,,-0.0060214181109,-0.0119283557549
1374680237637802549,741409,1374680237637802549,,-0.0060857941299,-0.0119461840106
1374680237638735140,741410,1374680237638735140,,-0.00599621856713,-0.0120988486428
1374680237645788201,741411,1374680237645788201,,-0.00627768421963,-0.0119993259358
1374680237645794487,741412,1374680237645794487,,-0.00634123822828,-0.0120169265445
1374680237646405388,741413,1374680237646405388,,-0.00640458919439,-0.0120344709226
1374680237647032004,741414,1374680237647032004,,-0.00646773808943,-0.0120519593394
1374680237647941966,741415,1374680237647941966,,-0.00653068587869,-0.012069392062
1374680237648562296,741416,1374680237648562296,,-0.00653068587869,-0.012069392062
1374680237649184443,741417,1374680237649184443,,-0.0064430982326,-0.0122206247023
1374680237650096081,741418,1374680237650096081,,-0.0067832107854,-0.0122146297004
1374680237651035097,741419,1374680237651035097,,-0.00653068587869,-0.012069392062
1374680237651342398,741420,1374680237651342398,,-0.00672053071897,-0.0121973914782
1374680237652248799,741421,1374680237652248799,,-0.00665401105115,-0.0123163060843
1374680237652878138,741422,1374680237652878138,,-0.00672053071897,-0.0121973914782
1374680237653492532,741423,1374680237653492532,,-0.00672053071897,-0.0121973914782
1374680237654417510,741424,1374680237654417510,,-0.00672053071897,-0.0121973914782
1374680237655018634,741425,1374680237655018634,,-0.00672053071897,-0.0121973914782
1374680237655634145,741426,1374680237655634145,,-0.00672053071897,-0.0121973914782
1374680237656864329,741427,1374680237656864329,,-0.00672053071897,-0.0121973914782
1374680237657186018,741428,1374680237657186018,,-0.00656987472909,-0.0123323907018
1374680237657788329,741429,1374680237657788329,,-0.00653068587869,-0.012069392062
1374680237658710863,741430,1374680237658710863,,-0.00653068587869,-0.012069392062
1374680237659340622,741431,1374680237659340622,,-0.00672053071897,-0.0121973914782
1374680237659943282,741432,1374680237659943282,,-0.00650651030822,-0.0123152477969
1374680237660606774,741433,1374680237660606774,,-0.00650651030822,-0.0123152477969
1374680237661478882,741434,1374680237661478882,,-0.00631644037882,-0.0121861100543
1374680237662099143,741435,1374680237662099143,,-0.00646773808943,-0.0120519593394
1374680237663018463,741436,1374680237663018463,,-0.00631644037882,-0.0121861100543
1374680237663638444,741437,1374680237663638444,,-0.00646773808943,-0.0120519593394
1374680237664243410,741438,1374680237664243410,,-0.00655120265125,-0.0120355070693
1374680237664874635,741439,1374680237664874635,,-0.00680459473391,-0.0121811446721
1374680237665788299,741440,1374680237665788299,,-0.00655120265125,-0.0120355070693
1374680237666385721,741441,1374680237666385721,,-0.00646773808943,-0.0120519593394
1374680237667031124,741442,1374680237667031124,,-0.00648808269946,-0.0120179633592
1374680237667942343,741443,1374680237667942343,,-0.0062528068034,-0.0121687697127
1374680237668540743,741444,1374680237668540743,,-0.00627255864176,-0.0121349707656
1374680237669201931,741445,1374680237669201931,,-0.0064247604341,-0.0120003634176
